title,description,category,priority,resolution
Access Request for Jira,I need access to the engineering Jira board to view the current sprint tasks. My username is jdoe123.,Access Management,Medium,Granted access to the 'Eng-Dev-Standard' Jira project role.
Unable to ping default gateway,"I cannot reach the default gateway from my workstation. IPCONFIG shows I have a 169.254.x.x address, indicating a DHCP failure. The ethernet cable is plugged into a Cisco Catalyst 2960 switch.",Network,High,Identified a misconfigured VLAN on the switch port; reassigned port to the correct Data VLAN and refreshed the DHCP lease.
THE SERVER ROOM IS CURRENTLY MELTING,THE INTERNAL THERMOMETER IS SHOWING A TEMPERATURE INCREASE OF 0.5 DEGREES CELSIUS. PLEASE RESPOND TO THIS CATASTROPHE AS SOON AS YOU HAVE A CHANCE NEXT WEEK.,Infrastructure,Low,Verified cooling system setpoints; temperature increase was within normal operating range.
Database performance extremely slow after patch,"Following the deployment of OS patches to the Oracle 19c database server on RHEL 8 during the maintenance window last night, the application has experienced a 400% increase in latency. Preliminary analysis indicates a critical degradation in performance characterized by abnormally high IO wait times. This issue is currently impacting all users within the EMEA region, and we require an immediate investigation and resolution to restore standard service levels.",Database,Critical,Identified a misconfiguration in the transparent huge pages settings post-patch; reverted to optimal kernel parameters.
Company-wide VPN authentication failure,"Hey there, just wanted to mention that I'm seeing a slight hiccup with the VPN access. It seems no one in the company can log in. Whenever you get a chance today, could you peek at the firewall logs? Cheers.",Network,Critical,Renewed expired SSL VPN certificate on the primary firewall.
Account locked out - AD Error 0xC000006A,I'm locked out of my workstation again. It keeps giving me error 0xC000006A when I try to log in with my domain credentials. This is the third time today and I have a deadline.,Security,Medium,Identified a stale credential stored in Windows Credential Manager for a mapped network drive. Cleared cache and forced a domain password sync.
Forgotten MFA device,I'm currently traveling for a conference and I left my hardware security key back at the office. I'm locked out of my corporate email and I really need to check my inbox before tomorrow's meeting.,Security,Medium,Verified identity via manager approval and issued a temporary bypass code valid for 4 hours.
Data migration error,"Attempting to migrate user profiles to the new NAS migration target, but the Robocopy job keeps failing with error 5. I'm running the command as Administrator, but it seems like it's getting stuck on locked system files.",Storage,Medium,Added the /ZB (restartable mode with backup) flag to the Robocopy script to bypass file locks and handle permission errors gracefully.
Unable to reach external website,"We need access to the vendor portal at www.vendor-secure.com, but our firewall is blocking it. The error page shows 'Access Denied: Category Restricted'.",Network,Low,Added the vendor domain to the corporate firewall whitelist as an exception for the relevant department.
Total network outage in Building 3,"No one in the entire wing can access local files or the internet. All phones are showing 'No Network'. Please help immediately, this is an emergency.",Network,Critical,Resolved an upstream failure caused by a firmware bug in the building’s distribution switch. Rolled back the firmware and performed a cold boot of the stack.
Need more space for archives,The current archival storage pool is nearly full. We need an additional 2TB of provisioned space for the upcoming project data migration by Friday. Please advise on the process.,Storage,Low,"Created a new storage pool and presented a 2TB LUN to the archival server, then mapped it as a mount point."
VPN connection drops in Cisco AnyConnect,My VPN keeps dropping every 15 minutes while I'm using the proprietary internal web app. The console log shows 'DTLS tunnel disconnected'. Can you fix this? It's really affecting my workflow.,Application,High,Disabled the 'Block connections to untrusted servers' setting in the Cisco AnyConnect profile and updated the client to the latest stable release.
Forgotten MFA device,I left my YubiKey at home and can't get into my laptop. Can you please reset my MFA so I can work from home today?,Security,Medium,Verified identity via manager and issued a temporary bypass code valid for 4 hours.
Laptop disk space warning,"Hey, my MacBook Pro is yelling at me that the disk is almost full. I can't even open Chrome anymore because it says there isn't enough memory to swap files. Can you help me figure out what's hogging all the space?",Storage,Low,Cleared 45GB of temporary cache files and purged the local Time Machine snapshots.
